item name 2023-09-18 09:00:43,2023-09-18 17:31:36,m/s,℃,6.0,5107,0.08:30:54.6
conditions

Hub No ,HUB01-01CH,HUB01-01CH,HUB01-01CH,HUB01-02CH,HUB01-02CH,HUB01-02CH,HUB01-03CH,HUB01-03CH,HUB01-03CH,HUB01-04CH,HUB01-04CH,HUB01-04CH,HUB01-05CH,HUB01-05CH,HUB01-05CH,HUB01-06CH,HUB01-06CH,HUB01-06CH,HUB01-07CH,HUB01-07CH,HUB01-07CH,HUB01-08CH,HUB01-08CH,HUB01-08CH,HUB01-09CH,HUB01-09CH,HUB01-09CH,HUB01-10CH,HUB01-10CH,HUB01-10CH,HUB01-11CH,HUB01-11CH,HUB01-11CH,HUB01-12CH,HUB01-12CH,HUB01-12CH
Data 2155-0.03:35:30.0 ,0.43,26.00,70.80,0.29,26.00,71.30,0.49,26.00,71.20,0.35,26.10,72.90,0.46,25.80,71.40,0.42,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2156-0.03:35:36.0 ,0.50,26.00,70.70,0.35,26.00,71.20,0.34,26.00,71.30,0.45,26.00,72.90,0.45,25.70,71.30,0.42,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2157-0.03:35:42.0 ,0.33,26.10,70.70,0.30,26.10,71.20,0.25,26.00,71.20,0.37,26.10,72.90,0.52,25.80,71.40,0.37,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2158-0.03:35:48.0 ,0.19,26.00,70.70,0.51,26.10,71.20,0.38,26.00,71.20,0.32,26.10,72.80,0.55,25.90,71.40,0.42,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2159-0.03:35:54.0 ,0.48,26.00,70.70,0.39,26.10,71.20,0.36,26.10,71.20,0.24,26.10,72.80,0.52,25.90,71.40,0.57,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2160-0.03:36:00.0 ,0.29,25.90,70.70,0.25,26.00,71.20,0.52,26.00,71.20,0.37,26.10,72.90,0.50,25.90,71.40,0.28,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2161-0.03:36:06.0 ,0.38,26.00,70.80,0.33,26.10,71.20,0.38,26.10,71.20,0.38,26.00,72.90,0.30,25.90,71.40,0.49,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2162-0.03:36:12.0 ,0.49,25.90,70.80,0.31,26.10,71.20,0.29,26.10,71.20,0.37,26.00,72.90,0.48,25.90,71.40,0.38,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2163-0.03:36:18.0 ,0.25,25.90,70.80,0.40,26.00,71.30,0.43,26.10,71.20,0.29,26.00,72.90,0.35,25.90,71.30,0.28,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2164-0.03:36:24.0 ,0.36,26.00,70.80,0.48,26.00,71.30,0.44,26.10,71.20,0.34,26.10,72.90,0.48,25.80,71.30,0.47,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2165-0.03:36:30.0 ,0.46,26.00,70.80,0.13,26.00,71.30,0.19,26.00,71.30,0.44,26.10,73.00,0.55,25.80,71.40,0.31,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2166-0.03:36:36.0 ,0.22,25.90,70.70,0.36,26.00,71.40,0.18,26.00,71.20,0.36,26.00,72.90,0.38,25.70,71.40,0.33,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2167-0.03:36:42.0 ,0.18,26.00,70.70,0.41,25.90,71.40,0.56,26.10,71.20,0.22,26.00,72.90,0.46,25.80,71.40,0.41,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2168-0.03:36:48.0 ,0.22,26.00,70.70,0.37,25.90,71.40,0.43,26.00,71.20,0.24,26.00,73.00,0.37,25.70,71.40,0.29,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2169-0.03:36:54.0 ,0.30,26.00,70.70,0.43,25.90,71.40,0.38,26.00,71.20,0.23,26.00,73.00,0.44,25.80,71.40,0.28,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2170-0.03:37:00.0 ,0.33,26.00,70.70,0.33,25.90,71.40,0.26,26.00,71.20,0.26,26.00,72.90,0.39,25.70,71.40,0.27,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2171-0.03:37:06.0 ,0.42,25.90,70.70,0.30,25.90,71.40,0.42,26.00,71.30,0.25,26.10,72.90,0.41,25.80,71.40,0.50,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2172-0.03:37:12.0 ,0.36,26.00,70.70,0.39,26.00,71.40,0.11,26.00,71.20,0.40,26.10,72.90,0.50,25.80,71.50,0.24,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2173-0.03:37:18.0 ,0.38,26.00,70.80,0.29,26.00,71.40,0.31,26.10,71.20,0.52,26.00,72.90,0.40,25.80,71.50,0.45,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2174-0.03:37:24.0 ,0.27,26.00,70.80,0.32,26.00,71.40,0.54,26.00,71.20,0.21,26.00,73.00,0.49,25.80,71.50,0.23,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2175-0.03:37:30.0 ,0.47,26.00,70.70,0.42,25.90,71.40,0.38,26.00,71.30,0.36,26.10,72.90,0.49,25.80,71.40,0.34,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2176-0.03:37:36.0 ,0.26,26.00,70.80,0.38,25.90,71.40,0.21,26.00,71.30,0.29,26.00,72.90,0.48,25.80,71.40,0.46,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2177-0.03:37:42.0 ,0.34,26.00,70.80,0.43,26.00,71.40,0.27,26.10,71.20,0.44,26.10,72.90,0.51,25.90,71.40,0.31,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2178-0.03:37:48.0 ,0.17,26.00,70.80,0.39,26.00,71.40,0.43,26.00,71.20,0.18,26.10,72.90,0.41,25.90,71.40,0.29,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2179-0.03:37:54.0 ,0.35,26.00,70.80,0.40,25.90,71.40,0.47,26.00,71.20,0.16,26.10,72.90,0.31,25.80,71.40,0.28,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2180-0.03:38:00.0 ,0.49,25.90,70.80,0.49,26.00,71.50,0.50,26.00,71.20,0.43,26.10,72.90,0.52,25.80,71.40,0.25,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2181-0.03:38:06.0 ,0.39,25.90,70.80,0.33,25.90,71.50,0.35,26.00,71.20,0.26,26.00,73.00,0.43,25.80,71.40,0.44,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2182-0.03:38:12.0 ,0.53,26.00,70.80,0.39,25.90,71.50,0.35,26.00,71.20,0.30,26.00,73.00,0.42,25.80,71.40,0.41,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2183-0.03:38:18.0 ,0.21,26.00,70.90,0.40,25.80,71.50,0.21,26.00,71.20,0.33,26.00,73.00,0.51,25.80,71.40,0.36,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2184-0.03:38:24.0 ,0.27,26.00,70.80,0.29,25.90,71.50,0.32,26.00,71.20,0.42,26.00,73.10,0.48,25.70,71.40,0.35,26.10,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2185-0.03:38:30.0 ,0.50,26.00,70.80,0.28,25.90,71.50,0.62,26.00,71.20,0.32,26.00,73.00,0.47,25.70,71.50,0.44,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2186-0.03:38:36.0 ,0.48,26.00,70.80,0.36,25.90,71.50,0.56,26.00,71.30,0.50,26.00,73.00,0.50,25.70,71.50,0.32,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2187-0.03:38:42.0 ,0.31,26.00,70.90,0.40,26.00,71.50,0.34,26.00,71.30,0.29,26.00,73.10,0.48,25.80,71.50,0.50,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2188-0.03:38:48.0 ,0.55,26.00,70.90,0.23,25.90,71.40,0.46,26.00,71.30,0.16,25.90,73.10,0.37,25.70,71.50,0.30,26.10,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2189-0.03:38:54.0 ,0.32,26.00,70.90,0.33,26.00,71.40,0.45,26.10,71.30,0.44,26.00,73.00,0.43,25.80,71.50,0.29,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2190-0.03:39:00.0 ,0.28,26.00,70.90,0.34,26.00,71.50,0.34,26.00,71.30,0.41,26.00,73.00,0.36,25.80,71.50,0.39,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2191-0.03:39:06.0 ,0.49,26.00,70.90,0.42,26.00,71.50,0.21,26.00,71.30,0.35,26.00,73.10,0.25,25.70,71.50,0.51,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2192-0.03:39:12.0 ,0.17,26.00,70.90,0.33,26.00,71.50,0.39,26.00,71.20,0.35,26.00,73.10,0.34,25.80,71.50,0.42,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2193-0.03:39:18.0 ,0.64,26.00,70.90,0.29,26.10,71.50,0.17,26.00,71.20,0.24,26.00,73.10,0.47,25.80,71.50,0.50,26.10,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2194-0.03:39:24.0 ,0.52,26.00,70.90,0.28,26.00,71.50,0.39,26.10,71.20,0.37,26.10,73.10,0.44,25.70,71.50,0.56,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2195-0.03:39:30.0 ,0.45,26.00,70.90,0.50,26.00,71.60,0.48,26.00,71.20,0.34,26.10,73.00,0.48,25.80,71.50,0.54,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2196-0.03:39:36.0 ,0.41,26.00,70.90,0.33,26.00,71.60,0.45,26.00,71.30,0.25,26.10,73.00,0.38,25.80,71.50,0.36,26.10,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2197-0.03:39:42.0 ,0.53,25.90,70.90,0.24,25.90,71.60,0.59,26.00,71.30,0.38,26.20,72.90,0.36,25.80,71.50,0.45,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2198-0.03:39:48.0 ,0.57,25.90,70.90,0.44,25.90,71.60,0.26,26.00,71.30,0.32,26.10,72.90,0.42,25.70,71.50,0.59,26.10,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2199-0.03:39:54.0 ,0.45,25.90,70.90,0.22,25.90,71.60,0.46,26.00,71.30,0.31,26.00,73.00,0.39,25.70,71.50,0.39,26.10,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2200-0.03:40:00.0 ,0.42,26.00,70.90,0.38,25.90,71.60,0.28,26.00,71.30,0.40,26.10,72.90,0.50,25.70,71.50,0.47,26.10,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2201-0.03:40:06.0 ,0.23,25.90,70.90,0.33,25.90,71.50,0.57,26.00,71.30,0.29,26.10,73.00,0.55,25.70,71.50,0.21,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2202-0.03:40:12.0 ,0.22,26.00,70.90,0.31,25.90,71.50,0.46,26.00,71.30,0.28,26.10,72.90,0.50,25.90,71.50,0.37,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2203-0.03:40:18.0 ,0.53,25.90,70.90,0.36,25.90,71.50,0.61,26.00,71.30,0.36,26.10,72.90,0.39,25.80,71.50,0.36,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2204-0.03:40:24.0 ,0.47,25.90,70.90,0.37,26.00,71.50,0.45,25.90,71.30,0.34,26.10,72.90,0.30,25.70,71.50,0.35,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2205-0.03:40:30.0 ,0.45,25.90,70.90,0.38,26.10,71.50,0.40,26.00,71.40,0.33,26.10,72.90,0.52,25.80,71.50,0.24,26.00,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2206-0.03:40:36.0 ,0.23,26.00,70.90,0.13,26.00,71.50,0.33,26.00,71.30,0.32,26.10,72.90,0.27,25.70,71.50,0.58,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2207-0.03:40:42.0 ,0.43,26.00,70.90,0.35,26.00,71.50,0.32,26.00,71.30,0.31,26.00,72.90,0.50,25.70,71.50,0.36,26.10,71.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2208-0.03:40:48.0 ,0.30,25.90,70.90,0.29,26.00,71.50,0.37,26.00,71.30,0.21,26.10,72.90,0.49,25.70,71.50,0.50,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2209-0.03:40:54.0 ,0.38,25.90,70.90,0.29,25.90,71.50,0.41,26.00,71.30,0.30,26.10,72.90,0.42,25.90,71.50,0.34,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2210-0.03:41:00.0 ,0.36,25.90,70.90,0.21,25.90,71.50,0.45,26.00,71.40,0.17,26.10,72.90,0.44,25.80,71.50,0.25,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2211-0.03:41:06.0 ,0.41,25.90,70.90,0.22,25.90,71.50,0.33,26.00,71.40,0.17,26.10,72.90,0.36,25.70,71.50,0.49,26.10,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2212-0.03:41:12.0 ,0.41,26.00,70.90,0.51,25.90,71.50,0.58,26.00,71.40,0.39,26.10,72.90,0.41,25.70,71.50,0.35,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2213-0.03:41:18.0 ,0.38,26.00,70.90,0.47,25.90,71.50,0.38,26.00,71.40,0.22,26.00,73.00,0.37,25.80,71.50,0.39,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2214-0.03:41:24.0 ,0.44,26.00,70.90,0.26,25.90,71.50,0.53,26.00,71.30,0.24,25.90,73.00,0.42,25.80,71.50,0.27,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2215-0.03:41:30.0 ,0.42,26.00,71.00,0.19,25.90,71.60,0.32,26.00,71.30,0.35,26.00,73.00,0.45,25.80,71.50,0.30,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2216-0.03:41:36.0 ,0.52,26.00,70.90,0.34,25.90,71.50,0.28,26.00,71.30,0.18,25.90,73.10,0.37,25.70,71.50,0.46,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2217-0.03:41:42.0 ,0.42,26.00,70.90,0.37,25.90,71.50,0.54,26.00,71.40,0.24,26.00,73.10,0.56,25.70,71.50,0.40,26.10,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2218-0.03:41:48.0 ,0.41,26.00,70.90,0.25,26.00,71.50,0.24,25.90,71.40,0.35,26.10,73.00,0.57,25.80,71.50,0.40,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2219-0.03:41:54.0 ,0.38,25.90,70.90,0.19,25.90,71.50,0.34,26.00,71.30,0.20,26.00,73.00,0.41,25.70,71.50,0.46,26.00,72.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2220-0.03:42:00.0 ,0.19,25.90,70.90,0.17,25.90,71.50,0.50,26.00,71.30,0.36,25.90,73.00,0.50,25.70,71.50,0.48,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2221-0.03:42:06.0 ,0.56,26.00,70.90,0.18,26.00,71.40,0.40,26.00,71.40,0.42,26.00,73.10,0.39,25.80,71.50,0.45,26.10,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2222-0.03:42:12.0 ,0.33,26.00,70.90,0.24,26.00,71.40,0.49,26.00,71.40,0.28,25.90,73.10,0.31,25.70,71.50,0.38,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2223-0.03:42:18.0 ,0.39,26.00,70.90,0.13,26.00,71.40,0.22,25.90,71.50,0.22,25.90,73.10,0.21,25.70,71.50,0.50,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2224-0.03:42:24.0 ,0.28,25.90,70.90,0.29,26.00,71.40,0.51,26.00,71.50,0.30,26.00,73.00,0.43,25.80,71.40,0.45,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2225-0.03:42:30.0 ,0.39,26.00,70.90,0.32,26.00,71.40,0.43,26.00,71.40,0.23,26.00,73.00,0.52,25.80,71.50,0.44,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2226-0.03:42:36.0 ,0.32,25.90,70.90,0.29,25.90,71.40,0.47,26.00,71.40,0.45,26.10,73.00,0.32,25.70,71.50,0.41,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2227-0.03:42:42.0 ,0.40,26.00,70.90,0.52,26.00,71.40,0.29,26.00,71.40,0.23,26.00,73.00,0.36,25.70,71.50,0.51,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2228-0.03:42:48.0 ,0.54,26.00,70.90,0.34,25.90,71.40,0.20,26.00,71.40,0.45,26.00,73.00,0.42,25.80,71.50,0.38,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2229-0.03:42:54.0 ,0.55,26.00,70.90,0.33,25.90,71.40,0.34,26.00,71.40,0.40,26.10,73.00,0.49,25.80,71.50,0.47,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2230-0.03:43:00.0 ,0.30,26.00,70.90,0.37,25.90,71.40,0.50,26.00,71.40,0.20,26.00,73.00,0.36,25.80,71.50,0.53,25.90,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2231-0.03:43:06.0 ,0.16,25.90,70.90,0.38,26.00,71.40,0.56,26.00,71.50,0.25,26.10,73.00,0.39,25.80,71.50,0.33,25.90,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2232-0.03:43:12.0 ,0.31,26.00,70.90,0.28,26.00,71.40,0.24,26.00,71.50,0.26,26.00,73.00,0.40,25.80,71.50,0.34,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2233-0.03:43:18.0 ,0.24,26.00,70.90,0.26,26.00,71.40,0.27,26.00,71.40,0.28,26.10,73.00,0.42,25.80,71.50,0.43,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2234-0.03:43:24.0 ,0.40,26.00,70.90,0.27,26.00,71.40,0.26,26.00,71.40,0.31,26.00,72.90,0.51,25.80,71.50,0.20,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2235-0.03:43:30.0 ,0.31,25.90,70.90,0.21,25.90,71.40,0.20,26.00,71.40,0.19,26.00,72.90,0.56,25.90,71.50,0.40,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2236-0.03:43:36.0 ,0.35,25.90,70.90,0.32,26.10,71.40,0.16,26.10,71.30,0.31,26.00,73.00,0.49,25.80,71.50,0.42,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2237-0.03:43:42.0 ,0.12,25.90,70.90,0.44,26.00,71.40,0.33,26.10,71.30,0.41,26.00,73.00,0.46,25.80,71.50,0.46,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2238-0.03:43:48.0 ,0.28,26.00,70.90,0.14,25.90,71.40,0.32,26.00,71.30,0.23,26.00,73.10,0.55,25.80,71.50,0.36,26.10,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2239-0.03:43:54.0 ,0.55,26.00,70.90,0.33,25.90,71.40,0.50,26.00,71.30,0.22,26.00,73.00,0.40,25.70,71.50,0.22,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2240-0.03:44:00.0 ,0.25,26.00,70.90,0.21,25.90,71.40,0.36,26.00,71.30,0.22,26.00,73.00,0.38,25.70,71.50,0.26,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2241-0.03:44:06.0 ,0.25,25.90,70.90,0.45,26.10,71.40,0.34,26.00,71.30,0.52,26.00,73.10,0.47,25.70,71.50,0.35,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2242-0.03:44:12.0 ,0.25,26.00,70.90,0.39,26.10,71.40,0.22,26.00,71.30,0.21,26.00,73.10,0.37,25.70,71.50,0.56,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2243-0.03:44:18.0 ,0.47,26.00,70.90,0.43,26.00,71.40,0.21,26.00,71.20,0.35,26.00,73.00,0.39,25.70,71.50,0.51,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2244-0.03:44:24.0 ,0.45,26.00,70.90,0.17,25.90,71.40,0.30,26.00,71.20,0.19,26.00,73.10,0.55,25.80,71.50,0.45,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2245-0.03:44:30.0 ,0.52,26.00,70.90,0.33,26.00,71.40,0.43,26.00,71.30,0.36,26.10,73.00,0.43,25.90,71.50,0.40,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2246-0.03:44:36.0 ,0.43,26.00,70.90,0.51,26.10,71.40,0.24,25.90,71.30,0.49,26.00,73.00,0.42,25.90,71.50,0.60,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2247-0.03:44:42.0 ,0.15,26.00,70.90,0.38,26.00,71.40,0.29,26.00,71.30,0.32,26.00,73.10,0.42,25.90,71.50,0.33,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2248-0.03:44:48.0 ,0.33,26.00,70.90,0.37,25.90,71.40,0.26,26.00,71.30,0.34,26.00,73.10,0.48,25.80,71.50,0.49,26.10,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2249-0.03:44:54.0 ,0.18,26.00,70.90,0.31,26.00,71.40,0.31,26.00,71.30,0.20,26.00,73.00,0.54,25.80,71.40,0.29,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2250-0.03:45:00.0 ,0.41,26.00,70.90,0.22,25.90,71.40,0.25,26.00,71.30,0.21,26.10,73.00,0.45,25.80,71.40,0.53,26.10,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2251-0.03:45:06.0 ,0.46,26.00,70.90,0.34,25.90,71.40,0.30,26.00,71.30,0.21,26.10,73.00,0.36,25.90,71.40,0.39,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2252-0.03:45:12.0 ,0.53,26.00,70.90,0.38,25.90,71.40,0.29,26.00,71.30,0.26,26.00,73.00,0.49,25.70,71.40,0.32,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2253-0.03:45:18.0 ,0.42,26.00,70.90,0.46,25.90,71.40,0.66,26.00,71.30,0.41,25.90,73.10,0.42,25.70,71.40,0.27,26.00,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2254-0.03:45:24.0 ,0.57,26.00,70.90,0.28,25.90,71.50,0.45,25.90,71.40,0.25,26.00,73.20,0.40,25.80,71.50,0.48,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2255-0.03:45:30.0 ,0.34,25.90,70.90,0.51,26.00,71.50,0.31,26.00,71.50,0.39,26.00,73.20,0.49,25.80,71.50,0.52,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2256-0.03:45:36.0 ,0.36,25.90,71.00,0.35,26.00,71.50,0.50,26.00,71.40,0.32,26.00,73.10,0.51,25.80,71.50,0.30,26.10,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2257-0.03:45:42.0 ,0.44,25.90,71.00,0.45,25.90,71.50,0.24,25.90,71.40,0.44,26.00,73.10,0.61,25.80,71.50,0.29,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2258-0.03:45:48.0 ,0.42,26.00,71.00,0.30,25.90,71.50,0.63,26.00,71.40,0.39,26.00,73.20,0.50,25.70,71.50,0.32,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2259-0.03:45:54.0 ,0.47,25.90,71.00,0.30,25.80,71.50,0.64,25.90,71.40,0.23,26.10,73.20,0.40,25.70,71.50,0.24,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2260-0.03:46:00.0 ,0.50,26.00,71.00,0.51,26.00,71.50,0.53,25.90,71.50,0.38,26.10,73.10,0.46,25.70,71.50,0.29,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2261-0.03:46:06.0 ,0.18,25.90,71.00,0.45,26.00,71.50,0.36,25.90,71.50,0.38,26.00,73.20,0.49,25.80,71.50,0.29,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2262-0.03:46:12.0 ,0.49,26.00,71.00,0.26,25.90,71.50,0.50,26.00,71.50,0.32,26.00,73.20,0.49,25.80,71.50,0.24,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
